"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
15463,"Gl 759",,"19 24 58.1","+11 56 42",0.966,48.4,-100.6,"G8 IV","G",8,"IV",5.16,4.2,64.3,0.77,182572
15531,"Gl 771","A","19 55 18.4","+06 24 23",0.481,174.8,-40.7,"G8 IV","G",8,"IV",3.72,3.07,74.3,0.86,188512
15885,"Gl 848.4",,"22 09 30.3","-07 32 55",0.455,169.5,-21.4,"G8 IV","G",8,"IV",6.55,5.2,53.9,0.75,210277
12632,"NN 3075",,"01 08 35.0","-10 10 56",0.252,122.3,12.9,"K1.5 III","K",1,"III",3.45,1.49,40.6,1.16,6805
15999,"NN 4298",,"22 50 01.0","+24 35 40",0.15,104,15.3,"G8+ III","G",8,"III",3.48,1.4,39.2,0.93,216131
13096,"Wo 9132",,"03 48 06.7","+24 08 33",0.041,166.5,7.1,"F6 V","F",6,"V",9.24,7.5,45.1,0.54,23713
13122,"Gl 159",,"04 02 36.9","-00 16 09",0.288,150.3,17.7,"F6 V","F",6,"V",5.37,4.08,55.2,0.5,25457
12510,"Gl 23","A","00 35 14.5","-03 35 36",0.411,92.9,11.2,"F6 V","F",6,"V",5.65,4.59,61.4,0.57,3196
12513,"NN 3041",,"00 35 40.9","-48 00 04",0.111,150.2,7.6,"F6 V","F",6,"V",5.51,3.52,40,0.44,3302
13238,"Gl 178",,"04 49 50.0","+06 57 38",0.464,88.1,24.4,"F6 V","F",6,"V",3.19,3.81,133.1,0.45,30652
12458,"NN 3021",,"00 16 13.6","-79 51 05",0.46,99,,"G6 V","G",6,"V",6.6,5.2,52,,1237
13306,"Gl 196",,"05 22 33.9","+79 13 51",0.179,333.3,-10.7,"F6 V","F",6,"V",5.05,3.67,52.9,0.47,33564
13373,"Gl 216","A","05 44 28.1","-22 26 54",0.476,218.5,-9.7,"F6 V","F",6,"V",3.58,4.06,124.9,0.47,38393
13440,"NN 3390",,"06 14 50.6","+19 09 22",0.217,208.4,35.7,"F6 V","F",6,"V",5.2,3.51,46,0.44,43042
