"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
13077,"Wo 9127",,"03 44 22.2","+24 45 58",0.05,165,,"G3","G",3,,11.09,9.43,46.5,0.86,
13143,"Gl 165.1",,"04 15 32.2","+58 31 18",0.287,139.4,21.9,"K3","K",3,,8.67,7.2,50.9,1,26581
13227,"Gl 176.2",,"04 43 35.9","+27 41 15",0.271,167.6,17.1,"K3","K",3,,8,6.26,44.9,0.9,29883
13544,"NN 3428",,"07 08 03.9","+29 50 04",0.343,206.6,21,"K3","K",3,,8.32,6.33,40,0.93,53927
13650,"Gl 292","B","07 52 16.1","-34 42 18",0.31,319.8,,"K3","K",3,,8.6,7.8,69.9,,
12898,"Gl 108",,"02 42 33.2","-50 48 00",0.405,56.4,15.5,"G3 IV","G",3,"IV",5.41,4.58,68.3,0.56,17051
13287,"Wo 9175",,"05 07 50.6","-05 05 13",0.128,230.9,-9.2,"A3 III","A",3,"III",2.79,1.27,49.7,0.13,33111
13529,"NN 3422",,"06 59 50.6","-67 55 01",0.24,351,38.6,"K3 III","K",3,"III",5.17,3.2,41.1,1.4,53501
13637,"GJ 1102","B","07 50 14.0","+07 11 47",1.778,173.2,,"DC9",,,,16.98,15.82,58.6,1.3,
13640,"NN 3463",,"07 51 51.9","+05 32 55",0.572,134.9,,"m",,,,14.75,13.74,62.8,1.82,
13641,"GJ 1103","A","07 51 54.7","-00 00 15",0.766,160.6,52,"m",,,,13.5,13.78,113.8,1.68,
13642,"GJ 1103","B","07 51 55.7","-00 00 09",0.766,160.6,,"m",,,,15,15.3,113.8,,
13647,"NN 3465",,"07 52 33.5","+06 18 26",0.227,168,,"m",,,,13.56,11.57,40,,
13654,"Gl 293",,"07 53 14.6","-67 47 32",2.041,135.6,,"DQ9",,,,14.08,14.88,144.7,0.66,
13655,"GJ 1105",,"07 58 13.0","+41 18 14",0.685,163,-11,"k",,,,12,12.46,123.5,1.63,
13657,"Gl 293.1","B","07 57 57.4","-00 48 50",0.181,270,,,,,,13.3,11.9,52.9,,65277
13658,"NN 3467",,"07 58 09.1","+07 17 02",0.336,266,,"m",,,,13.77,13,70,,
13659,"NN 3468","A","07 58 30.7","+15 30 16",0.115,218,,"m",,,,14.24,12.65,48,,
13660,"NN 3469","B","07 58 29.7","+15 30 04",0.115,218,,"m",,,,15.09,13.5,48,,
13663,"NN 3470",,"07 59 06.2","+15 23 27",0.188,255,,"m",,,,12.33,10.5,43,,
13668,"Gl 294","B","07 57 55.4","-60 17 54",0.528,77.8,,"k",,,,9.88,8.88,63,1.34,
13669,"Gl 294","C","07 57 55.4","-60 17 54",0.528,77.8,,,,,,13.5,12.5,63,,
13673,"NN 3473","A","08 02 22.8","+03 20 23",0.552,229.5,,"k-m",,,,13.7,11.8,41,,
13674,"NN 3474","B","08 02 20.8","+03 19 47",0.552,229.5,,"m+",,,,17,15,41,,
13724,"NN 3498",,"08 25 11.5","+32 36 32",0.686,178.9,-78.3,"K3","K",3,,10.05,7.04,25,1.06,
14137,"GJ 1142","B","11 08 00.3","-05 09 30",0.422,184,15.4,"DA3","A",3,,12.92,11.41,50,0.05,
14130,"NN 3642","AB","11 05 19.8","-27 17 37",0.19,267.4,19.1,"F3 IV   J","F",3,,5.63,3.7,40.3,0.37,96202
14223,"Gl 433.1",,"11 37 05.2","+29 47 59",0.15,262,,"DA3","A",3,,12.5,10.77,45,-0.06,
13999,"Gl 379.2",,"10 09 49.2","-36 45 16",0.488,319.1,111.1,"G3 V-VI","G",3,,8.08,4.79,22,0.6,88261
14582,"Gl 525.1",,"13 45 40.9","-33 02 38",0.486,252.1,-21.6,"F3 IV","F",3,"IV",4.23,2.59,47,0.38,119756
14325,"Wo 9395",,"12 12 25.2","-06 21 38",0.41,221,,"K3","K",3,,9.96,6.77,23,1,106092
14753,"Gl 564.1",,"14 50 52.3","-16 02 30",0.129,236.6,-46.7,"A3 IV","A",3,"IV",2.75,1.4,53.6,0.15,130841
14585,"NN 3805",,"13 46 01.9","+57 00 29",0.257,316,,"DA3","A",3,,13.3,11.42,42,,
14593,"NN 3806","A","13 48 55.2","-35 42 15",0.554,250.8,3.5,"G3 IV-V","G",3,,6.57,4.23,34,0.55,120237
14979,"Wo 9557","A","16 19 54.9","+39 42 29",0.137,270.8,-29,"F3 IV-V","F",3,,5.46,3.5,40.9,0.4,147365
15029,"Gl 632",,"16 31 17.3","+79 47 26",0.126,135.7,-16.9,"dG3","G",3,,7.06,4.72,34,0.62,150706
15155,"Gl 670","B","17 21 00.0","-21 06 49",0.313,132,,"K3","K",3,,8.9,7.8,59.8,,
13706,"NN 3488",,"08 14 36.3","+13 01 24",0.433,282.1,,"K4","K",4,,8.85,7.47,53,1.2,68834
14767,"NN 3873",,"14 54 27.5","+35 32 59",0.838,169.3,,"M3.5","M",3.5,,12.31,11.98,86,,
15133,"NN 3995","AB","17 15 00.4","+24 50 02",0.16,189,-40,"A3 IV","A",3,"IV",3.14,1.11,39.3,0.08,156164
13728,"NN 3499",,"08 25 44.3","-66 08 14",0.162,191.3,27.4,"K2 III","K",2,"III",3.76,1.8,39.8,1.13,71878
15695,"Gl 816.1","A","21 02 40.5","+45 53 07",0.422,69.5,-13.6,"K25 V","K",2,"V",7.68,5.98,45.8,0.97,200560
15803,"Gl 836.6","B","21 44 08.1","+28 44 38",0.315,133,23.5,"G2 V","G",2,"V",6.09,4.27,43.2,,206827
15816,"Gl 838",,"21 48 15.6","-47 18 11",0.337,150.6,-6.5,"G2 V","G",2,"V",5.58,4.86,71.8,0.6,207129
15876,"Gl 847.1",,"22 06 46.3","-45 23 34",0.477,123.6,-23.4,"K2 V","K",2,"V",8.43,6.02,33,0.85,209742
15890,"Wo 9771",,"22 10 12.4","+06 11 54",0.276,83.4,-7.9,"A2 V","A",2,"V",3.53,1.94,48.1,0.08,210418
15996,"Wo 9796",,"22 48 33.6","-51 18 59",0.129,121.1,-3,"A2 V","A",2,"V",3.48,1.64,42.9,0.08,215789
16068,"NN 4320",,"23 16 18.5","+30 40 16",0.377,74.9,9,"K2 V","K",2,"V",8.09,6.21,42,0.88,219538
16051,"Wo 9812","A","23 09 55.1","-22 27 25",0.026,103.5,-1,"G2 V","G",2,"V",5.11,1.72,21,0.65,218640
13703,"Gl 301","B","08 13 09.1","-13 55 01",0.556,206.7,,,,,,10.7,9.4,54.8,,
13707,"GJ 2066",,"08 16 07.9","+01 18 10",0.37,277,,"m",,,,10.1,10.38,114,1.53,
13709,"NN 3490","B","08 16 12.7","-35 52 58",0.028,13.6,,,,,,11,10.3,71,,
13710,"NN 3491",,"08 17 52.0","+31 07 50",0.24,341,,"k",,,,11.22,10.1,60,1.49,
13711,"NN 3492",,"08 13 35.7","-76 08 45",0.657,329.8,,"k-m",,,,11.85,10.85,63,,
13721,"NN 3496",,"08 32 09.9","+84 24 20",0.358,54,,"m",,,,13.42,11.59,43,1.62,
13730,"Gl 308","B","08 28 22.1","+35 00 56",1.102,251.5,,,,,,11.56,9.22,34,,
13731,"GJ 1110",,"08 28 12.6","+20 08 25",0.667,202.3,142,"g-k",,,,13.08,11.34,44.8,1.48,
13737,"GJ 2069","B","08 31 37.6","+19 23 55",0.282,245,,,,,,13.32,13.6,114,,
13740,"NN 3503",,"08 31 23.0","-10 29 56",0.661,241.4,,"m",,,,15,14.1,65,,
13741,"NN 3504",,"08 32 30.9","-01 34 38",0.5,161,,"m",,,,18.44,16.97,50.8,,
13742,"Gl 308.3",,"08 31 56.6","-50 11 22",0.29,317,,"m",,,,10.8,7.61,23,1.21,
13743,"NN 3505",,"08 33 25.2","+18 31 42",0.625,187.3,,"m",,,,14.75,13.16,48,,
16013,"Wo 9802",,"22 53 38.1","-48 35 53",0.236,110,-1,"G3 IV","G",3,"IV",6.03,4.3,46,0.62,216435
15263,"Gl 700.1","A","18 03 04.5","-08 10 48",0.046,147.1,-38.4,"dF3   J","F",3,,5.24,4.07,58.3,0.38,164765
15280,"Gl 705.1",,"18 10 25.9","-62 00 08",0.222,339.4,29.7,"G3 IV-V","G",3,,5.48,4.04,51.6,0.58,165499
13800,"Gl 329",,"08 54 57.6","-24 23 41",0.38,290.8,63.3,"K2/3 III","K",2,"III",8.66,7.73,65.3,1,76378
15480,"Wo 9661",,"19 34 05.6","+07 22 45",0.264,126.1,-25.1,"K3 IIIb","K",3,,4.45,2.77,46.1,1.17,184406
15616,"Gl 794",,"20 34 22.0","+25 03 54",0.662,214.2,71,"DA3","A",3,,11.52,10.73,69.4,-0.07,
15640,"GJ 2149",,"20 44 18.2","-68 05 18",0.247,138,,"DA3","A",3,,13.4,11.4,39,0.1,
15641,"Gl 799.1",,"20 42 34.7","-20 04 34",0.347,105,,"DA3","A",3,,12.38,10.49,41.8,-0.08,
15717,"Wo 9723",,"21 08 47.9","+47 09 18",0.497,119.6,,"K3","K",3,,10.78,8.8,39.7,0.95,
15703,"Gl 818.1","A","21 09 22.4","-73 10 25",0.55,127.6,-10.1,"G3 IV  J","G",3,,6.4,4.5,41.7,0.59,200525
15836,"Gl 838.4",,"21 52 25.4","+02 23 15",0.331,178,,"DA3","A",3,,12.75,10.78,40.4,0.01,
16065,"Gl 893.2","B","23 15 51.2","-09 04 44",0.382,90.9,-26.1,"K3 V J","K",3,,9.62,7.8,43.3,1.05,219430
16033,"Gl 886.1","A","23 02 36.5","+42 45 28",0.046,81.2,2,"A3 Vn","A",3,,5.14,1.5,18.5,0.09,217782
16052,"Wo 9812","B","23 09 55.1","-22 27 25",0.026,103.5,-6,"A3 (IV)","A",3,,5.9,2.5,21,,218641
12649,"NN 3082",,"01 14 35.3","-53 56 54",0.324,21,,"M3","M",3,,11.09,9.87,57,1.48,
12450,"NN 3017",,"00 15 37.7","-29 46 06",0.13,135,,"dM3.4","M",3,,14.31,13.05,56,1.57,
12478,"NN 3029",,"00 21 41.2","-46 05 05",0.483,216.8,,"M3:","M",3,,12.29,11.1,59,1.46,
12554,"NN 3054",,"00 45 29.9","-51 37 39",0.094,124,,"M3","M",3,,11.91,10.08,43,1.48,
12558,"NN 3055",,"00 46 55.0","-26 08 04",0.286,47,,"M3 :","M",3,,13.98,12,40,1.64,
12582,"NN 3063",,"00 52 26.6","-41 14 45",0.059,212,,"M3","M",3,,11.92,10.04,42,1.49,
12627,"Gl 52.2",,"01 07 48.2","+34 12 31",1.464,69.9,,"M3","M",3,,13.35,11.59,44.5,1.59,
12629,"Gl 53.1","B","01 07 38.2","+22 57 18",0.5,168.2,,"M3","M",3,,13.6,11.96,47,,
12664,"Gl 56.1",,"01 18 16.2","-12 54 00",0.696,165.8,,"M3","M",3,,11.76,10.03,45.1,1.47,
12676,"NN 3090",,"01 21 45.7","-46 42 53",0.123,236,,"M3","M",3,,11.36,9.67,46,1.44,
16085,"Wo 9819",,"23 18 36.4","-58 18 25",0.263,125.8,17.2,"G2 V","G",2,"V",7.52,4.83,29,0.65,219709
12704,"Gl 63",,"01 38 22.1","+57 13 50",0.397,204.4,-17.5,"dM3","M",3,,11.19,10.97,90.3,1.39,
12731,"Gl 73",,"01 44 57.8","+16 20 41",0.815,239.7,,"M3","M",3,,14.11,13.04,61.2,1.67,
12411,"GJ 1001",,"00 04 41.0","-40 42 19",1.618,154.5,-3,"M3.5","M",3.5,,12.84,12.93,104.2,1.63,
12430,"NN 3007",,"00 07 58.8","+08 00 21",0.546,222.4,,"M3.5","M",3.5,,13.07,11.29,44,1.52,
12451,"Gl 12",,"00 15 48.9","+13 33 20",0.695,62.7,,"dM3.5","M",3.5,,12.58,12.26,86.3,1.66,
12501,"Gl 22","B","00 32 29.9","+67 14 09",1.748,97.8,,"dM3.5","M",3.5,,12.4,12.4,100.6,,
12595,"Gl 46",,"00 58 27.8","-27 51 21",1.305,102.7,43,"M3.5","M",3.5,,11.77,11.05,71.7,1.57,
12603,"Gl 48",,"01 02 32.6","+71 40 49",1.783,101.2,0.8,"dM3.5e","M",3.5,,10.04,10.35,115.5,1.46,
12615,"GJ 1026","B","01 03 14.5","+20 05 56",0.644,86.2,,"M3.5","M",3.5,,12.4,11.2,58.5,,
16115,"NN 4340",,"23 33 19.2","-77 23 07",0.018,74.9,26,"G2 V","G",2,"V",5.81,5.1,72,0.68,221420
12468,"Gl 15","A","00 18 22.8","+44 01 24",2.912,81.8,12,"M2 V","M",2,"V",8.08,10.39,289.5,1.56,1326
13380,"Gl 217.2",,"05 44 31.9","-70 08 40",1.263,345.6,13.8,"K0 V","K",0,"V",8.08,5.61,32,0.76,39194
13424,"Wo 9202",,"06 06 03.7","-59 32 33",0.793,196,25.4,"K0 V","K",0,"V",8.46,5.92,31,0.85,42286
13770,"Gl 319","B","08 42 45.1","+09 33 21",0.673,162.4,,,,,,13.1,12.2,66.8,,
12700,"Gl 60","C","01 35 01.0","-29 54 35",0.198,52.6,,"M2 V","M",2,"V",10.4,9.2,58,,
14145,"Gl 414","B","11 11 02.6","+30 26 44",0.618,110.2,-15,"M2 V","M",2,"V",9.98,9.3,73.2,1.52,
13776,"NN 3513",,"08 44 22.6","-10 24 15",0.605,148.8,,"m",,,,14,12.3,45,,
13780,"Gl 321.3","B","08 44 41.9","-54 42 31",0.082,164.6,,,,,,5,3.5,49.8,,
13781,"Gl 321.3","C","08 44 48.9","-54 41 56",0.08,164,,,,,,11,9.5,49.8,,
13782,"Gl 321.3","D","08 44 48.9","-54 41 56",0.08,164,,,,,,13.5,12,49.8,,
13783,"NN 3514",,"08 48 29.5","+61 09 03",0.585,136.9,,"m",,,,15.17,14.1,60,1.82,
13784,"NN 3515",,"08 50 51.0","+52 53 47",0.259,248,,"m",,,,15.4,13.7,46,1.78,
13788,"Gl 323","B","08 50 42.4","+07 51 51",0.06,270,,,,,,9.9,8.6,54,,
14221,"Gl 433",,"11 35 26.7","-32 32 23",0.831,185.1,28,"M2 V","M",2,"V",9.83,9.61,90.5,1.51,
12734,"NN 3113",,"01 46 36.5","-08 38 59",0.434,114.1,,"M3","M",3,,12.99,11.77,57,1.58,
12735,"NN 3114",,"01 48 03.6","+21 12 27",0.417,120,,"M3","M",3,,12.16,10.9,56,1.58,
12774,"NN 3131",,"02 03 20.7","-21 13 45",0.464,209.7,,"M3","M",3,,11.21,10.6,77,1.46,
12779,"Gl 84",,"02 05 04.3","-17 36 54",1.299,96.8,-35,"M3","M",3,,10.19,10.55,118,1.51,
14314,"Wo 9393",,"12 10 57.2","+41 03 31",0.229,355.7,,"M2 V","M",2,"V",10.67,8.89,44,1.35,
12793,"Gl 85.1",,"02 10 04.7","+35 25 44",0.567,213,,"M3","M",3,,13.74,12,44.9,1.48,
12794,"NN 3139",,"02 09 36.4","-14 21 32",0.629,123.3,,"M3","M",3,,11.82,10.8,63,1.54,
12812,"NN 3145",,"02 15 49.1","-12 40 25",0.544,67.1,,"M3","M",3,,13,11.2,44,1.5,
12822,"Gl 92.2",,"02 18 12.6","+44 16 06",0.535,104.8,,"M3","M",3,,13.49,11.8,45,1.53,
12827,"GJ 1046",,"02 19 10.1","-36 46 41",1.497,68.5,47,"M3","M",3,,11.62,10.7,66,1.5,
12853,"Gl 100","C","02 28 33.2","-20 02 18",0.668,65.7,,"M3","M",3,,12.85,11.3,49,1.61,
14333,"Gl 458.2",,"12 15 09.0","+48 43 59",0.23,257,-16.4,"M2 V","M",2,"V",10.52,9.18,54,1.46,
12865,"NN 3166",,"02 35 21.8","+23 34 04",,,-12,"M3  e","M",3,,13.71,12.12,48,1.58,
12873,"NN 3169","A","02 36 47.6","+32 04 22",0.33,260,,"M3","M",3,,13.63,11.69,41,,
14343,"Gl 459.3",,"12 19 24.4","+28 22 54",0.655,274.6,-1,"M2 V","M",2,"V",10.63,9.12,49.8,1.44,
13537,"Gl 264.1","B","07 03 57.1","-43 36 32",0.398,343.8,90.4,"K0 V","K",0,"V",6.79,5.89,66,0.8,53706
14776,"Gl 570","B","14 57 26.4","-21 24 42",1.933,149.7,27.9,"M2 V","M",2,"V",8,9.21,174.2,1.5,131976
12921,"NN 3184",,"02 51 51.2","+06 13 42",0.487,103.3,,"dM3","M",3,,13.19,11.4,44,1.58,
12929,"Gl 118.1","B","02 54 02.6","-35 54 52",0.532,106.7,,"M3 :","M",3,,13.1,11.27,43,1.52,
12934,"Gl 119","B","02 56 34.5","+55 26 29",0.833,123.9,,"M3","M",3,,11.65,9.91,44.8,1.42,
15396,"Gl 740",,"18 58 00.4","+05 54 28",1.245,189.6,10.4,"M2 V","M",2,"V",9.22,9.1,94.6,1.46,176029
12946,"NN 3192","A","03 01 50.4","-16 35 27",0.435,232,,"M3","M",3,,10.96,11.55,131,1.69,
12947,"NN 3193","B","03 01 50.4","-16 35 27",0.435,232,,"M3","M",3,,11.8,12.4,131,,
12949,"NN 3195","B","03 04 44.3","+61 44 11",0.996,133.7,,"M3","M",3,,12.6,10.9,45,,
12955,"NN 3198",,"03 04 04.6","-20 22 39",0.685,135.9,,"M3","M",3,,12.84,11.9,65,1.59,
12969,"NN 3204",,"03 10 27.1","+58 26 10",0.272,146,,"M3","M",3,,11.72,10.13,48,1.5,
13602,"Gl 278","A","07 34 36.3","+31 53 19",0.198,238.9,6,"A1 V","A",1,"V",1.94,1.11,68.3,0.04,60179
12981,"Gl 130",,"03 12 30.0","-38 05 24",1.434,59.7,98,"M3","M",3,,11.46,10.4,60,1.56,
15863,"Gl 844",,"22 01 49.4","+16 28 00",0.43,70,-14.8,"M2 V","M",2,"V",10.62,9.87,70.9,1.58,
13034,"GJ 1060","B","03 28 54.3","-27 18 48",0.839,63.7,,"sdM3","M",3,,13.8,12.6,57.6,,
13041,"Gl 143.3",,"03 31 46.3","+14 19 17",0.678,178.4,,"sdM3","M",3,,12.27,10.82,51.3,1.55,
15945,"Gl 860","A","22 28 00.0","+57 41 49",0.943,245.4,-33.3,"M2 V","M",2,"V",9.85,11.86,251.9,1.62,239960
13052,"NN 3238",,"03 36 06.8","-40 59 56",0.522,204.7,,"M3","M",3,,13.05,11.17,42,,
12482,"Gl 17.2",,"00 22 23.5","-27 02 01",0.476,149.3,0.4,"K3 V","K",3,"V",8.3,6.26,39,0.9,1815
12486,"GJ 2004",,"00 23 15.3","-33 10 04",0.147,332.5,,"K3/4 V","K",3,"V",8.75,6.92,43,1.07,1910
12489,"Gl 18",,"00 24 25.8","-27 01 36",0.679,82.4,3.7,"K3 V","K",3,"V",7.92,6.5,52,0.95,2025
13098,"NN 3251",,"03 50 32.7","+63 27 21",0.271,177,,"M3","M",3,,11.39,9.66,45,1.42,
13108,"NN 3256",,"03 54 25.5","-09 09 31",,,,"M3","M",3,,11.22,10.35,67,1.53,
13116,"Gl 157","B","03 57 28.9","-01 09 32",0.245,233.2,14,"dM3  e","M",3,,11.61,10.77,68,1.47,
12813,"Gl 91.2","A","02 15 46.3","-18 14 27",0.193,199.4,5.3,"K3 V","K",3,"V",8.42,6.64,44,1.02,14001
12834,"NN 3154",,"02 20 42.5","-39 02 02",0.215,98.8,,"K3/4 V","K",3,"V",8.74,6.8,41,1.04,14629
12836,"Wo 9079",,"02 21 23.8","-30 56 03",0.561,80.2,54,"K3 V","K",3,"V",8.81,6.34,32,0.93,14680
12870,"Gl 105","A","02 36 04.8","+06 53 15",2.322,51,26,"K3 V","K",3,"V",5.82,6.38,129.4,0.98,16160
12928,"Gl 118.1","A","02 54 02.7","-35 54 16",0.562,106.8,5.5,"K3 V","K",3,"V",8.23,6.4,43,0.93,18168
12893,"Gl 106.1","A","02 43 17.6","+03 14 11",0.207,224.5,-5.1,"A3 V","A",3,"V",3.56,1.92,46.9,0.09,16970
13156,"NN 3271",,"04 21 58.8","+75 08 30",0.778,132.8,,"M3","M",3,,12.16,10.8,54,1.51,
12747,"Gl 78",,"01 51 48.7","-10 48 16",0.793,133.7,0,"M3.5","M",3.5,,11.8,11.47,86,1.5,
12781,"Gl 84.1","B","02 05 24.6","-28 03 15",0.548,40.2,,"M3.5","M",3.5,,12.8,11.16,47,1.5,
12783,"NN 3135",,"02 05 49.5","-30 10 37",0.537,282.2,,"M3.5","M",3.5,,12.15,11.21,65,,
12824,"Gl 94",,"02 19 03.2","+35 21 08",0.792,121.5,,"M3.5","M",3.5,,12.55,11.24,54.8,1.47,
12855,"Gl 101",,"02 31 27.3","+57 22 47",1.042,88.5,,"M3.5","M",3.5,,13.21,12.1,60,1.52,
13197,"NN 3298",,"04 33 09.0","-36 56 43",0.052,333.7,,"K3/5 V","K",3,"V",8.79,6.85,41,0.99,29086
13253,"GJ 2037",,"04 55 41.5","-28 33 47",0.285,137.9,12.1,"K3/4 V","K",3,"V",8.13,6.91,57,1.07,31560
13832,"NN 3530",,"09 05 04.1","+02 50 02",0.306,278,,"m",,,,11.61,10.27,54,,
13833,"NN 3531",,"09 06 14.5","+12 51 31",0.392,224,,"m",,,,13.31,11.8,50,,
13835,"NN 3532",,"09 08 46.5","+66 35 32",0.317,118,,"m",,,,12.96,11.13,43,,
13836,"NN 3533",,"09 07 03.0","-22 08 51",0.513,215.9,,"k-m",,,,14.3,13.9,82,,
13843,"GJ 1121",,"09 09 23.8","+40 06 01",0.806,223.8,,"m",,,,14.55,12.86,45.9,1.82,
13846,"Wo 9287","B","09 08 36.5","-25 50 24",0.331,268.1,,,,,,13,11,34,,
13848,"NN 3536",,"09 16 29.7","+84 11 04",0.669,308.5,-28.7,"m",,,,11.92,9.88,39,,
13855,"NN 3540",,"09 12 03.0","+27 54 24",0.484,203.8,,"m",,,,12.29,11.25,62,1.56,
13857,"Gl 337","B","09 12 18.0","+14 59 44",0.58,293.8,,,,,,7.3,5.6,45.6,,
13904,"Gl 348","B","09 29 09.3","-02 45 05",0.146,103.1,11.5,"K0","K",0,,7.18,6.42,70.4,0.87,
13922,"Gl 355",,"09 32 26.0","-11 11 05",0.253,274.1,10.9,"K0","K",0,,7.82,6.4,52,0.92,82558
13910,"GJ 1126","A","09 30 27.9","-32 06 09",0.331,344.6,,"K3 V","K",3,"V",8.38,6.65,45,0.98,82342
13924,"Gl 355.2",,"09 33 12.2","-21 06 56",0.027,293.6,16.3,"K0 IV","K",0,"IV",5.01,3.5,50.6,1.02,82734
13246,"Gl 180",,"04 53 49.8","-17 46 23",0.765,143.8,-15,"M3 :","M",3,,10.9,10.52,83.8,1.54,
13259,"Gl 183",,"05 00 49.1","-05 45 10",1.233,153.5,22.2,"K3 V","K",3,"V",6.22,6.44,110.7,1.06,32147
13261,"NN 3322",,"05 01 59.2","+09 58 59",0.12,157,,"dM3","M",3,,11.47,12.23,142,1.52,
13267,"NN 3325",,"05 03 19.8","-17 22 25",0.501,202.8,,"M3","M",3,,11.69,11.3,85,1.63,
13283,"NN 3332","BC","05 06 49.0","-21 35 05",,,,"M3:","M",3,,11.66,11.26,83,1.51,
13289,"NN 3335",,"05 09 10.2","+15 27 33",0.642,166.8,,"M3","M",3,,12.48,10.89,48,1.5,
13334,"NN 3349",,"05 29 52.3","+32 04 57",0.7,198.4,,"M3","M",3,,12.15,9.81,34.1,1.48,
13344,"NN 3352",,"05 34 09.0","+51 12 55",0.242,187,,"M3","M",3,,11.07,9.34,45,1.46,
13346,"NN 3353","A","05 34 15.4","+10 19 10",0.38,197,,"M3","M",3,,12.32,10.86,51,,
13311,"Gl 200","A","05 19 12.6","-03 04 27",0.734,80,86.5,"K3 V","K",3,"V",7.7,7.21,79.7,1.04,34673
13365,"NN 3362",,"05 40 15.5","+12 38 56",0.25,188,,"M3","M",3,,11.36,9.72,47,1.46,
13382,"Gl 218",,"05 47 40.5","-36 19 42",0.692,96.6,56,"M3","M",3,,10.73,10.63,95.5,1.48,
13313,"Gl 199","A","05 18 47.5","-21 23 40",0.14,253,27.6,"K3/5 V","K",3,"V",9.33,8.26,61,1.27,34751
13423,"NN 3384",,"06 07 12.6","+33 32 33",0.43,161,,"M3","M",3,,12.44,10.5,41,1.45,
13425,"Wo 9203",,"06 09 02.1","+26 33 20",0.57,255,,"M3","M",3,,13.34,10.2,24,1.5,
13319,"NN 3346",,"05 19 59.6","-15 50 22",0.248,42,,"K3 V","K",3,"V",8.79,6.75,39,1,34865
13473,"NN 3402",,"06 41 28.5","+15 45 42",0.363,175,,"M3","M",3,,13.77,11.78,40,,
13392,"Gl 223",,"05 54 28.5","+02 08 34",0.644,173.7,-41.8,"K3 V","K",3,"V",8.83,6.79,39,1.02,39715
13481,"NN 3408","A","06 46 04.8","+32 33 21",0.462,280.1,-34.5,"K3 V","K",3,"V",8.77,7.14,47.1,0.96,263175
13518,"Gl 257","A","06 57 46.4","-44 17 30",1.134,265,,"M3","M",3,,11.5,11.8,116.9,1.66,
13519,"Gl 257","B","06 57 46.4","-44 17 30",1.134,265,,"M3","M",3,,11.7,12,116.9,,
13523,"Gl 257.1",,"07 01 38.3","+48 22 45",0.7,127.3,-22.8,"K3 V","K",3,"V",8,6.66,54,0.99,51866
15560,"Gl 779.1",,"20 04 09.9","+25 47 25",0.085,241.1,-6.4,"K3 V","K",3,"V",7.88,6.42,51,0.91,190470
12993,"Gl 132",,"03 15 05.6","-45 39 31",0.21,313,4,"G3 V","G",3,"V",6.76,5.82,64.9,0.58,20407
13583,"GJ 1097",,"07 28 45.8","-03 18 06",0.94,150.9,,"M3","M",3,,11.43,11.22,90.8,1.5,
13145,"Gl 165.2",,"04 14 30.2","+03 01 19",0.28,19.7,53.3,"K3 V","K",3,"V",8.79,6.63,37,0.97,26794
13610,"Wo 9238",,"07 37 57.1","+28 16 43",0.503,129.1,,"M3","M",3,,13.85,11.84,39.7,1.47,
13689,"GJ 1108","B","08 08 55.4","+32 49 06",,,,"dM3  e","M",3,,12.12,10.94,58,1.53,
13695,"Gl 297.2","B","08 10 34.1","-13 48 48",0.249,282,34.4,"M3","M",3,,11.82,10.26,48.8,1.51,
13733,"NN 3500",,"08 27 19.5","-44 59 12",0.577,342.7,,"M3","M",3,,11.85,11.55,87,,
13739,"NN 3502","B","08 31 26.8","-06 02 15",0.432,259,,"M3","M",3,,12.36,10.81,49,1.47,
13745,"NN 3506",,"08 35 49.1","+68 04 02",1.01,233.1,,"M3","M",3,,11.67,11.08,76.2,1.57,
15757,"Gl 827.1",,"21 26 58.4","-56 07 33",0.693,79,-40.5,"K3 V","K",3,"V",8.66,6.44,36,0.92,203850
13133,"Gl 162.1",,"04 07 22.1","-64 13 20",0.389,32.5,27.5,"G3 V","G",3,"V",6.38,4.83,49,0.64,26491
13216,"Gl 173.1","A","04 39 42.5","+09 52 19",0.364,182.8,-21.3,"K3 V","K",3,"V",9.2,7.67,49.4,1.02,286955
13821,"Gl 333",,"08 59 31.7","-47 26 10",0.847,323.6,22,"M3","M",3,,12.19,11.5,72.8,1.56,
13892,"NN 3555",,"09 23 52.2","+00 08 19",0.3,227,,"M3:","M",3,,11.54,10.4,59,1.51,
13220,"Gl 174",,"04 41 18.8","+20 54 07",0.353,223.5,7,"K3 V","K",3,"V",8,7.26,71.2,1.1,29697
12516,"Gl 24","A","00 36 37.8","-49 07 54",0.407,108.5,-3,"G3 V","G",3,"V",6.79,4.38,33,0.64,3405
13178,"NN 3286",,"04 25 01.2","-40 03 05",0.674,182.8,,"M3.5","M",3.5,,14.1,13,60,,
13209,"NN 3303",,"04 36 55.9","-29 03 28",0.517,71,,"M3.5","M",3.5,,13.7,11.8,41,,
13296,"Gl 192",,"05 12 42.0","+19 39 55",0.352,48,-28.6,"M3.5:","M",3.5,,10.76,10,70.4,1.54,
13327,"Gl 203",,"05 28 00.3","+09 38 36",0.783,195.1,,"M3.5","M",3.5,,12.48,12.47,99.7,1.64,
13337,"Gl 204.2",,"05 29 51.7","-03 26 31",0.57,214,,"M3.5","M",3.5,,12.02,10.65,53.1,1.53,
