"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
132," 51    Psc",2913,449,"Var?     ","00 32 23.8","+06 57 20",5.67,0,"  B9.5V             ",\N,\N,\N,"*"
133,\N,2924,\N,\N,"00 32 34.5","+27 34 50",6.67,\N,"  A2IV              ",\N,\N,\N,\N
134,\N,2942,455,\N,"00 32 49.1","+28 16 49",6.3,1,"  K0III             ",\N,\N,\N,"*"
135,\N,2952,\N,\N,"00 33 10.4","+54 53 42",5.93,1.04,"  K0III             ",\N,\N,\N,\N
136,"   Bet3Tuc",3003,\N,\N,"00 32 43.8","-63 01 52",5.09,0.04,"  A0V               ",\N,\N,\N,"*"
137," 16    Cas",3038,\N,\N,"00 34 24.9","+66 45 01",6.48,-0.08,"  B9III             ",\N,\N,\N,\N
138,\N,3059,\N,\N,"00 33 41.1","-29 33 30",5.55,1.27,"  K2III             ",\N,\N,\N,"*"
139,"   The Tuc",3112,\N,"The Tuc  ","00 33 23.3","-71 15 58",6.13,0.23,"  A7IV              ",\N,\N,\N,"*"
140,\N,3158,\N,\N,"00 34 27.8","-52 22 23",5.57,0.47,"  F3IV-V            ",\N,\N,\N,\N
141,\N,3166,\N,\N,"00 34 55.3","+13 22 16",6.4,\N,"  K0                ",\N,\N,\N,\N
142," 13    Cet",3196,490,212,"00 35 14.9","-03 35 34",5.2,0.56,"  F8V               ",\N,\N,\N,"*"
143," 14    Cet",3229,\N,\N,"00 35 32.8","-00 30 20",5.93,0.44,"  F5IV              ",\N,\N,\N,\N
144,\N,3240,\N,\N,"00 36 08.3","+54 10 07",5.08,-0.11,"  B7III             ",\N,\N,\N,\N
145,\N,3268,\N,\N,"00 35 54.7","+13 12 24",6.41,0.52,"  F7V               ",\N,\N,\N,\N
146,\N,3283,\N,\N,"00 36 27.3","+60 19 34",5.79,0.29,"  A4III             ",\N,\N,\N,"*"
147,"   Lam2Phe",3302,\N,\N,"00 35 41.1","-48 00 03",5.51,0.44,"  F6V               ",\N,\N,\N,\N
148,\N,3303,\N,219,"00 35 33.4","-54 49 19",6.06,1.01,"  K0IV              ",\N,\N,\N,\N
149,\N,3322,\N,221,"00 36 20.0","+27 15 17",6.5,-0.09,"  B8IIIpHgMn:       ",\N,\N,\N,"*"
150,\N,3325,\N,\N,"00 36 03.0","-14 58 25",6.45,1.06,"  G9III             ",\N,\N,\N,\N
151,\N,3326,\N,"BG Cet   ","00 36 06.9","-22 50 33",6.06,0.29,"  A6pSr             ",\N,\N,\N,"*"
152,\N,3346,\N,\N,"00 36 46.6","+44 29 19",5.13,1.6,"  K5-M0III          ",\N,\N,\N,\N
153," 17Zet Cas",3360,\N,225,"00 36 58.3","+53 53 49",3.66,-0.2,"  B2IV              ",\N,\N,\N,"*"
154," 29Pi  And",3369,513,227,"00 36 52.9","+33 43 10",4.36,-0.14,"  B5V               ",\N,\N,\N,"*"
155," 53    Psc",3379,\N,"AG Psc   ","00 36 47.3","+15 13 54",5.89,-0.15,"  B2.5IV            ",\N,\N,\N,"*"
156,\N,3411,\N,\N,"00 37 07.2","+24 00 51",6.47,\N,"  K2III             ",\N,\N,\N,\N
157,\N,3421,\N,\N,"00 37 21.1","+35 23 58",5.48,0.88,"  G2.5IIa           ",\N,\N,\N,\N
158,\N,3440,\N,235,"00 39 47.3","+82 29 38",6.4,0.55," dF6                ",\N,\N,\N,\N
159,\N,3443,520,\N,"00 37 20.7","-24 46 02",5.57,0.72,"  G8V               ",\N,\N,\N,"*"
160,\N,3444,\N,\N,"00 36 37.4","-65 07 29",6.42,1.26,"  K2-3III           ",\N,\N,\N,\N
161,\N,3457,\N,\N,"00 37 30.5","+03 08 07",6.39,1.33,"  K4III             ",\N,\N,\N,"*"
162,\N,3488,\N,\N,"00 37 18.1","-54 23 39",6.41,1,"  K0II-IIICNIV      ",\N,\N,\N,\N
163," 30Eps And",3546,\N,\N,"00 38 33.3","+29 18 42",4.37,0.87,"  G6IIIFe-3CH1      ",\N,\N,\N,\N
164,\N,3574,546,\N,"00 39 09.9","+49 21 16",5.43,1.64,"  K7III             ",\N,\N,\N,"*"
165," 31Del And",3627,548,\N,"00 39 19.7","+30 51 39",3.27,1.28,"  K3III             ",\N,\N,\N,"*"
166," 54    Psc",3651,\N,245,"00 39 21.8","+21 15 02",5.87,0.85,"  K0+V              ",\N,\N,\N,"*"
167," 55    Psc",3690,558,\N,"00 39 55.6","+21 26 18",5.36,1.16,"  K0III+F3V         ",\N,\N,\N,"*"
168," 18Alp Cas",3712,561,"Alp Cas  ","00 40 30.5","+56 32 14",2.23,1.17,"  K0IIIa            ",\N,\N,\N,"*"
169,\N,3719,\N,\N,"00 38 40.8","-73 08 14",6.85,0.11,"  A1m               ",\N,\N,\N,\N
170,\N,3735,\N,"Z Scl    ","00 39 57.9","-33 57 42",6.69,0.51,"  F8V               ",\N,\N,\N,"*"
171,\N,3750,\N,\N,"00 39 52.0","-44 47 48",6.01,1.14,"  K1IIICNII         ",\N,\N,\N,\N
172,\N,3794,\N,\N,"00 40 28.6","-16 31 01",6.49,0.92,"  G5                ",\N,\N,\N,\N
173,\N,3795,\N,\N,"00 40 32.9","-23 48 16",6.14,0.7,"  G3V               ",\N,\N,\N,\N
174,\N,3807,\N,\N,"00 40 42.4","-04 21 07",5.91,1.1,"  K0III             ",\N,\N,\N,\N
175," 32    And",3817,\N,\N,"00 41 07.2","+39 27 31",5.33,0.89,"  G8III             ",\N,\N,\N,"*"
176,\N,3823,\N,\N,"00 40 26.4","-59 27 16",5.89,0.55,"  G1V               ",\N,\N,\N,\N
177,\N,3856,\N,\N,"00 42 03.4","+66 08 51",5.83,1.04,"  G9III-IV          ",\N,\N,\N,\N
178,\N,3883,\N,258,"00 41 36.0","+24 37 45",6.04,0.26,"  A7m               ",\N,\N,\N,"*"
179," 19Xi  Cas",3901,\N,260,"00 42 03.9","+50 30 45",4.8,-0.11,"  B2V               ",\N,\N,\N,"*"
180,"   Mu  Phe",3919,\N,\N,"00 41 19.6","-46 05 06",4.59,0.97,"  G8III             ",\N,\N,\N,"*"
181,\N,3924,\N,\N,"00 42 31.1","+58 45 12",6.17,-0.01,"  B9.5III           ",\N,\N,\N,\N
182," M 31  And",\N,\N,"S And    ",\N,\N,\N,\N,"                    ",\N,\N,\N,"*"
183,"   Xi  Phe",3980,\N,"Xi  Phe  ","00 41 46.4","-56 30 06",5.7,0.2,"  ApSrEuCr          ",\N,\N,\N,"*"
184," 20Pi  Cas",4058,\N,268,"00 43 28.1","+47 01 29",4.94,0.18,"  A5V               ",\N,\N,\N,"*"
185,"   Lam1Scl",4065,\N,\N,"00 42 42.9","-38 27 48",6.06,-0.03,"  A0V               ",\N,\N,\N,"*"
186,\N,4088,\N,\N,"00 42 41.8","-60 15 45",5.98,1.32,"  K5III             ",\N,\N,\N,"*"
187,"   Rho Tuc",4089,\N,\N,"00 42 28.4","-65 28 05",5.39,0.5,"  F6V               ",\N,\N,\N,"*"
188," 16Bet Cet",4128,\N,272,"00 43 35.4","-17 59 12",2.04,1.02,"  G9.5IIICH-1       ",\N,\N,\N,"*"
189,\N,4142,\N,\N,"00 44 26.4","+47 51 51",5.67,-0.12,"  B5V               ",\N,\N,\N,"*"
190,\N,4145,\N,\N,"00 43 50.2","-12 00 42",6.02,1.1,"  K2III-IV          ",\N,\N,\N,\N
191,"   Eta Phe",4150,\N,\N,"00 43 21.2","-57 27 47",4.36,0,"  A0IV              ",\N,\N,\N,\N
192," 21    Cas",4161,624,"YZ Cas   ","00 45 39.0","+74 59 17",5.66,0.05,"  A2IV              ",\N,\N,\N,"*"
193," 22Omi Cas",4180,622,"Omi Cas  ","00 44 43.5","+48 17 04",4.54,-0.07,"  B5IIIe            ",\N,\N,\N,"*"
194," 17Phi1Cet",4188,\N,278,"00 44 11.4","-10 36 34",4.76,1.01,"  K0III             ",\N,\N,\N,"*"
195,"   Lam2Scl",4211,\N,\N,"00 44 12.1","-38 25 18",5.9,1.16,"  K1III             ",\N,\N,\N,\N
196,\N,4222,625,\N,"00 45 17.2","+55 13 18",5.42,0.04,"  A2V s             ",\N,\N,\N,"*"
197,\N,4247,\N,\N,"00 44 44.4","-22 00 22",5.24,0.33,"  F1III-IV          ",\N,\N,\N,\N
198,\N,4293,\N,\N,"00 44 57.1","-42 40 36",5.94,0.28,"  F0V               ",\N,\N,\N,\N
199,\N,4294,\N,\N,"00 44 32.3","-62 29 52",6.07,0.44,"  F5III-IV          ",\N,\N,\N,"*"
200,\N,4295,\N,\N,"00 46 39.0","+69 19 30",6.33,\N,"  F3V               ",\N,\N,\N,\N
