"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
4321,\N,96484,\N,\N,"11 06 27.4","-50 57 24",6.32,1.16,"  K2III             ",\N,\N,\N,\N
4322," 64    Leo",96528,\N,\N,"11 07 39.7","+23 19 25",6.46,0.16,"  A5m               ",\N,\N,\N,"*"
4323,\N,96544,\N,5091,"11 06 29.3","-58 40 31",6.02,1.24,"  K2II-III          ",\N,\N,\N,"*"
4324,\N,96557,\N,\N,"11 07 08.4","-32 35 14",6.59,0.34,"  F1III             ",\N,\N,\N,\N
4325,\N,96566,\N,\N,"11 06 32.4","-62 25 27",4.61,1.03,"  G8III             ",\N,\N,\N,\N
4326,\N,96568,\N,\N,"11 06 24.2","-64 50 23",6.41,0.12,"  A3V               ",\N,\N,\N,\N
4327,\N,96616,\N,"V815 Cen ","11 07 16.6","-42 38 19",5.15,0.03,"  ApSrCrEu          ",\N,\N,\N,"*"
4328,\N,96700,\N,\N,"11 07 54.4","-30 10 29",6.54,0.6,"  G2V               ",\N,\N,\N,\N
4329,\N,96706,\N,"Var      ","11 06 49.9","-70 52 41",5.57,-0.05,"  B2V               ",\N,\N,\N,"*"
4330,\N,96707,\N,"Var?     ","11 09 39.9","+67 12 37",6.06,0.22,"  F0pSr             ",\N,\N,\N,"*"
4331,\N,96723,\N,\N,"11 08 15.8","-29 58 22",6.49,0.03,"  A1V               ",\N,\N,\N,\N
4332," 67    Leo",96738,8071,\N,"11 08 49.1","+24 39 30",5.68,0.06,"  A3IV              ",\N,\N,\N,\N
4333,\N,96813,\N,"CO UMa   ","11 09 19.1","+36 18 34",5.74,1.51,"  M3.5IIIab         ",\N,\N,\N,"*"
4334,\N,96819,\N,5101,"11 08 43.9","-28 04 50",5.44,0.07,"  A1V               ",\N,\N,\N,\N
4335," 52Psi UMa",96833,\N,\N,"11 09 39.8","+44 29 55",3.01,1.14,"  K1III             ",\N,\N,\N,\N
4336,\N,96834,\N,5107,"11 09 38.5","+43 12 27",5.89,1.57,"  M2III             ",\N,\N,\N,"*"
4337,\N,96918,\N,"V382 Car ","11 08 35.4","-58 58 30",3.91,1.23,"  G40-Ia            ",\N,\N,\N,"*"
4338,\N,96919,\N,"V371 Car ","11 08 34.0","-61 56 50",5.13,0.22,"  B9Ia              ",\N,\N,\N,"*"
4339,\N,97023,\N,5111,"11 09 53.4","-32 22 03",5.81,0.04,"  A2V               ",\N,\N,\N,\N
4340,\N,97138,\N,5119,"11 12 11.0","+68 16 19",6.4,\N,"  A3V               ",\N,\N,\N,\N
4341,\N,97244,\N,\N,"11 11 43.7","+14 24 01",6.3,0.21,"  A5V               ",\N,\N,\N,\N
4342,\N,97271,\N,\N,"11 10 54.7","-58 27 19",6.88,-0.08,"  B7III             ",\N,\N,\N,\N
4343," 11Bet Crt",97277,\N,\N,"11 11 39.5","-22 49 33",4.48,0.03,"  A2III             ",\N,\N,\N,\N
4344,\N,97302,\N,\N,"11 12 44.5","+54 53 39",6.63,\N,"  A4V               ",\N,\N,\N,\N
4345,\N,97334,\N,\N,"11 12 32.2","+35 48 49",6.41,0.61,"  G0V               ",\N,\N,\N,\N
4346,\N,97393,\N,5129,"11 12 14.8","-32 26 02",6.38,1.7,"  M1III             ",\N,\N,\N,\N
4347,"   Psi Crt",97411,8086,\N,"11 12 30.4","-18 30 00",6.13,-0.01,"  A0V               ",\N,\N,\N,"*"
4348,\N,97428,\N,\N,"11 12 34.6","-21 44 57",6.4,1.38,"  K0                ",\N,\N,\N,\N
4349,\N,97472,\N,\N,"11 11 29.5","-71 26 11",6.35,1.37,"  K2-3III           ",\N,\N,\N,\N
4350,\N,97495,\N,\N,"11 12 33.1","-49 06 04",5.36,0.18,"  A3IV-V            ",\N,\N,\N,\N
4351,\N,97501,8093,\N,"11 13 40.2","+41 05 19",6.33,1.15,"  K2III             ",\N,\N,\N,"*"
4352,\N,97534,\N,5137,"11 12 36.0","-60 19 03",4.6,0.55,"  A6Iae             ",\N,\N,\N,"*"
4353,\N,97550,\N,\N,"11 12 56.9","-49 44 11",6.11,1.06,"  G8II-III          ",\N,\N,\N,\N
4354,\N,97576,\N,\N,"11 13 14.7","-44 22 20",5.8,1.66,"  K5-M0III          ",\N,\N,\N,\N
4355,\N,97583,\N,\N,"11 12 45.2","-64 10 11",5.23,-0.06,"  B8V               ",\N,\N,\N,"*"
4356," 69    Leo",97585,\N,\N,"11 13 45.6","-00 04 11",5.42,-0.03,"  A0V               ",\N,\N,\N,\N
4357," 68Del Leo",97603,\N,5143,"11 14 06.5","+20 31 25",2.56,0.12,"  A4V               ",\N,\N,\N,"*"
4358,\N,97605,\N,\N,"11 14 01.8","+08 03 38",5.79,1.12,"  K3III             ",\N,\N,\N,"*"
4359," 70The Leo",97633,\N,5144,"11 14 14.4","+15 25 46",3.34,-0.01,"  A2V               ",\N,\N,\N,"*"
4360,\N,97651,\N,\N,"11 13 39.3","-53 13 54",5.76,1.32,"  K2III             ",\N,\N,\N,\N
4361,\N,97670,\N,"Var      ","11 13 30.8","-59 37 10",5.74,-0.1,"  B1.5V             ",\N,\N,\N,"*"
4362," 72    Leo",97778,\N,5147,"11 15 12.2","+23 05 44",4.63,1.66,"  M3IIb             ",\N,\N,\N,"*"
4363,\N,97855,8108,\N,"11 16 04.0","+52 46 23",6.5,0.43,"  F6V+F9V           ",\N,\N,\N,"*"
4364,\N,97866,\N,\N,"11 14 54.0","-43 44 03",6.21,1.61,"  K4III             ",\N,\N,\N,\N
4365," 73    Leo",97907,\N,\N,"11 15 51.9","+13 18 27",5.32,1.2,"  K3III             ",\N,\N,\N,"*"
4366,\N,97937,\N,\N,"11 15 57.8","+12 50 41",6.67,0.27,"  A9Vp              ",\N,\N,\N,"*"
4367,\N,97989,\N,\N,"11 16 41.9","+49 28 35",5.88,1.08," gK0                ",\N,\N,\N,\N
4368," 74Phi Leo",98058,\N,\N,"11 16 39.7","-03 39 06",4.47,0.21,"  A7IVn             ",\N,\N,\N,"*"
4369,\N,98088,8115,"SV Crt   ","11 16 58.2","-07 08 05",6.14,0.2,"  A8IVpeSrCrSi      ",\N,\N,\N,"*"
4370,\N,98096,\N,\N,"11 16 27.7","-45 52 48",6.31,0.4,"  F3V               ",\N,\N,\N,"*"
4371," 75    Leo",98118,\N,\N,"11 17 17.4","+02 00 38",5.18,1.52,"  M0III-IIIb        ",\N,\N,\N,\N
4372,\N,98161,\N,\N,"11 17 11.8","-38 00 52",6.27,0.1,"  A3Vn              ",\N,\N,\N,\N
4373,\N,98221,\N,\N,"11 17 39.2","-34 44 14",6.45,0.4,"  F4V               ",\N,\N,\N,\N
4374," 53Xi  UMa",98230,8119,5165,"11 18 10.9","+31 31 45",4.87,\N,"  G0V               ",\N,\N,\N,"*"
4375," 53Xi  UMa",98231,8119,5165,"11 18 11.0","+31 31 45",4.41,0.59,"  G0V               ",\N,\N,\N,"*"
4376,\N,98233,\N,\N,"11 17 43.0","-36 32 04",6.68,0.98,"  G8-K0III          ",\N,\N,\N,\N
4377," 54Nu  UMa",98262,8123,\N,"11 18 28.7","+33 05 39",3.48,1.4,"  K3-IIIBa0.3       ",\N,\N,\N,"*"
4378,\N,98280,\N,\N,"11 18 21.0","+11 59 05",6.66,0.07,"  A2V               ",\N,\N,\N,\N
4379,\N,98292,\N,5163,"11 17 19.0","-67 49 25",6.06,1.76,"  M2III             ",\N,\N,\N,"*"
4380," 55    UMa",98353,\N,\N,"11 19 07.9","+38 11 08",4.78,0.12,"  A1Vp:             ",\N,\N,\N,"*"
4381," 76    Leo",98366,\N,\N,"11 18 55.0","+01 39 02",5.91,1.04," gK0                ",\N,\N,\N,\N
4382," 12Del Crt",98430,\N,\N,"11 19 20.5","-14 46 43",3.56,1.12,"  G8III-IV          ",\N,\N,\N,\N
4383,\N,98499,\N,\N,"11 20 53.8","+67 06 02",6.21,1.01,"  G8                ",\N,\N,\N,\N
4384,\N,98560,\N,\N,"11 19 16.5","-64 34 57",5.99,0.46,"  F6IV              ",\N,\N,\N,\N
4385,\N,98617,\N,\N,"11 18 34.3","-79 40 07",6.35,0.26,"  A8IIIm:           ",\N,\N,\N,\N
4386," 77Sig Leo",98664,\N,\N,"11 21 08.2","+06 01 46",4.05,-0.06,"  B9.5V s           ",\N,\N,\N,\N
4387,\N,98672,\N,\N,"11 19 36.3","-75 08 33",6.27,-0.03,"  B9.5-A0V          ",\N,\N,\N,\N
4388,\N,98673,\N,\N,"11 21 49.3","+57 04 30",6.43,0.15,"  A7Vn              ",\N,\N,\N,\N
4389,\N,98695,\N,\N,"11 20 03.9","-71 59 40",6.41,0.05,"  B4V               ",\N,\N,\N,\N
4390,"   Pi  Cen",98718,\N,\N,"11 21 00.4","-54 29 28",3.89,-0.15,"  B5Vn              ",\N,\N,\N,"*"
4391,\N,98772,\N,\N,"11 22 51.3","+64 19 50",6.02,0.09,"  A1Vnp             ",\N,\N,\N,"*"
4392," 56    UMa",98839,\N,\N,"11 22 49.6","+43 28 58",4.99,0.99,"  G7.5IIIa:Ba0.3    ",\N,\N,\N,\N
4393,\N,98892,\N,\N,"11 22 23.1","-44 38 45",6.12,0.92,"  G8III             ",\N,\N,\N,\N
4394,\N,98960,\N,\N,"11 23 18.0","+00 07 54",6.05,1.46,"  K3                ",\N,\N,\N,\N
4395," 13Lam Crt",98991,\N,\N,"11 23 21.9","-18 46 48",5.09,0.42,"  F5III             ",\N,\N,\N,"*"
4396,\N,98993,\N,\N,"11 23 12.7","-36 09 53",5,1.46,"  K6III             ",\N,\N,\N,\N
4397,\N,99015,\N,\N,"11 21 57.1","-77 36 30",6.43,0.2,"  A5III-IV          ",\N,\N,\N,\N
4398,\N,99022,\N,\N,"11 23 08.1","-56 46 46",5.79,0.01,"  A4:pe             ",\N,\N,\N,"*"
4399," 78Iot Leo",99028,8148,5184,"11 23 55.5","+10 31 45",3.94,0.41,"  F4IV              ",\N,\N,\N,"*"
4400," 79    Leo",99055,\N,\N,"11 24 02.3","+01 24 28",5.39,0.94,"  G8IIICN-0.5       ",\N,\N,\N,"*"
4401,\N,99104,\N,\N,"11 23 21.8","-64 57 18",5.11,-0.08,"  B5V               ",\N,\N,\N,\N
4402," 14Eps Crt",99167,\N,\N,"11 24 36.6","-10 51 34",4.83,1.56,"  K5III             ",\N,\N,\N,\N
4403,\N,99171,\N,\N,"11 24 22.1","-42 40 09",6.12,-0.18,"  B2IV-V            ",\N,\N,\N,\N
4404,\N,99196,\N,\N,"11 24 58.9","+11 25 49",5.8,1.38,"  K4III             ",\N,\N,\N,"*"
4405," 15Gam Crt",99211,8153,\N,"11 24 52.9","-17 41 02",4.08,0.21,"  A5V               ",\N,\N,\N,"*"
4406,\N,99264,\N,\N,"11 24 11.1","-72 15 24",5.59,0.06,"  B2IV-V            ",\N,\N,\N,"*"
4407,\N,99283,\N,\N,"11 25 57.1","+55 51 02",5.75,\N,"  K0III             ",\N,\N,\N,\N
4408," 81    Leo",99285,\N,\N,"11 25 36.4","+16 27 23",5.57,0.36,"  F2V               ",\N,\N,\N,\N
4409,\N,99322,\N,\N,"11 25 29.4","-36 03 47",5.22,0.99,"  K0III             ",\N,\N,\N,"*"
4410," 80    Leo",99329,\N,\N,"11 25 50.0","+03 51 36",6.37,0.33,"  F3IV              ",\N,\N,\N,\N
4411,\N,99333,\N,\N,"11 25 33.1","-37 44 52",5.89,1.54,"  M3III             ",\N,\N,\N,\N
4412,\N,99373,\N,\N,"11 26 25.5","+33 27 02",6.32,0.43,"  F7V               ",\N,\N,\N,\N
4413,\N,99453,\N,\N,"11 25 43.2","-63 58 22",5.17,0.5,"  F7V               ",\N,\N,\N,\N
4414," 83    Leo",99491,8162,\N,"11 26 45.3","+03 00 47",6.5,0.79,"  K0IV              ",\N,\N,\N,"*"
4415,\N,99556,\N,\N,"11 26 35.3","-61 06 55",5.3,-0.08,"  B3IV              ",\N,\N,\N,"*"
4416," 16Kap Crt",99564,\N,\N,"11 27 09.5","-12 21 24",5.94,0.49,"  F4III-IV          ",\N,\N,\N,\N
4417,\N,99574,\N,\N,"11 26 47.3","-53 09 36",5.81,0.52,"  K0III+A2-3V       ",\N,\N,\N,\N
4418," 84Tau Leo",99648,\N,\N,"11 27 56.2","+02 51 22",4.95,1,"  G7.5IIIa          ",\N,\N,\N,"*"
4419,\N,99651,\N,\N,"11 27 53.7","-01 42 00",6.25,1.04," gK2                ",\N,\N,\N,\N
4420,\N,99712,\N,\N,"11 27 58.5","-35 19 43",6.45,\N,"  K5III:            ",\N,\N,\N,\N
4421,\N,99747,\N,\N,"11 29 04.6","+61 46 42",5.83,0.36,"  F5Va vw           ",\N,\N,\N,\N
4422," 57    UMa",99787,8175,\N,"11 29 04.2","+39 20 13",5.31,0.01,"  A2V               ",\N,\N,\N,"*"
4423,\N,99803,\N,\N,"11 28 35.1","-42 40 27",5.08,-0.03,"  B9V               ",\N,\N,\N,"*"
4424,\N,99859,\N,\N,"11 29 43.5","+56 44 15",6.28,0.15,"  A4m               ",\N,\N,\N,"*"
4425,\N,99872,\N,\N,"11 28 18.2","-72 28 28",6.09,0.16,"  B3V               ",\N,\N,\N,\N
4426," 85    Leo",99902,\N,\N,"11 29 41.9","+15 24 48",5.74,1.32," gK4                ",\N,\N,\N,\N
4427,\N,99913,\N,\N,"11 30 12.9","+54 21 42",6.41,\N,"  K0III             ",\N,\N,\N,\N
4428,\N,99922,8183,\N,"11 29 38.6","-24 27 48",5.76,0.07,"  A0V               ",\N,\N,\N,\N
4429,\N,99945,\N,5230,"11 31 50.4","+81 07 38",6.15,0.24,"  A2m               ",\N,\N,\N,\N
4430,\N,99967,\N,"EE UMa   ","11 30 25.0","+46 39 27",6.35,1.27,"  K2IIICN-1         ",\N,\N,\N,"*"
4431," 58    UMa",99984,\N,\N,"11 30 31.1","+43 10 24",5.94,0.49,"  F4V               ",\N,\N,\N,"*"
4432," 87    Leo",99998,\N,\N,"11 30 18.9","-03 00 13",4.77,1.54,"  K3.5IIIFe-1       ",\N,\N,\N,"*"
4433," 86    Leo",100006,\N,\N,"11 30 29.0","+18 24 35",5.52,1.05,"  K0III             ",\N,\N,\N,"*"
4434,"  1Lam Dra",100029,\N,5231,"11 31 24.2","+69 19 52",3.84,1.62,"  M0IIICa-1         ",\N,\N,\N,"*"
4435,\N,100030,\N,\N,"11 30 52.9","+47 55 45",6.42,0.88,"  G9IV              ",\N,\N,\N,\N
4436,\N,100055,\N,\N,"11 31 10.2","+48 47 21",6.56,0.93,"  G9III             ",\N,\N,\N,\N
4437," 88    Leo",100180,8196,\N,"11 31 44.9","+14 21 52",6.2,0.57,"  G0V               ",\N,\N,\N,"*"
4438,\N,100198,\N,"V809 Cen ","11 31 15.0","-61 16 42",6.38,0.52,"  A3Iae             ",\N,\N,\N,"*"
4439,\N,100203,8197,\N,"11 32 20.8","+61 04 57",5.48,0.5,"  F8V               ",\N,\N,\N,"*"
4440,\N,100219,\N,\N,"11 31 47.6","-20 46 36",6.24,0.54,"  F7IV              ",\N,\N,\N,\N
4441,"   Omi1Cen",100261,\N,"Omi1 Cen ","11 31 46.1","-59 26 32",5.13,1.08,"  G30-Ia            ",\N,\N,\N,"*"
4442,"   Omi2Cen",100262,\N,"Omi2 Cen ","11 31 48.8","-59 30 57",5.15,0.49,"  A2Ia              ",\N,\N,\N,"*"
4443,\N,100286,8202,\N,"11 32 16.1","-29 15 48",5.81,0.53,"  F8V               ",\N,\N,\N,"*"
4444,\N,100287,8202,\N,"11 32 16.3","-29 15 40",5.64,0.53,"  F8V               ",\N,\N,\N,"*"
4445,\N,100307,\N,\N,"11 32 23.3","-26 44 48",6.16,1.66,"  M1III             ",\N,\N,\N,\N
4446,\N,100343,\N,\N,"11 32 47.5","-07 49 39",5.95,1.38,"  K4III             ",\N,\N,\N,\N
4447,\N,100378,\N,\N,"11 32 48.1","-40 26 11",5.64,1.58,"  K6III             ",\N,\N,\N,\N
4448,\N,100382,\N,\N,"11 32 19.9","-66 57 44",5.9,1.13,"  K1IIICNIb-II      ",\N,\N,\N,\N
4449,\N,100393,\N,5246,"11 32 54.1","-31 05 14",5.04,1.58,"  M2IIIb            ",\N,\N,\N,\N
4450,"   Xi  Hya",100407,\N,\N,"11 33 00.1","-31 51 28",3.54,0.94,"  G7III             ",\N,\N,\N,"*"
4451,\N,100418,\N,\N,"11 33 14.6","-16 16 50",6.05,0.6,"  F9III             ",\N,\N,\N,\N
4452,\N,100470,\N,\N,"11 33 56.3","+36 48 56",6.4,1.05,"  K0III             ",\N,\N,\N,"*"
4453,\N,100493,\N,\N,"11 33 37.3","-40 35 13",5.39,0.12,"  A2IV-V            ",\N,\N,\N,"*"
4454,\N,100518,\N,\N,"11 34 10.0","+11 01 25",6.55,0.18,"  A2m               ",\N,\N,\N,\N
4455," 89    Leo",100563,\N,\N,"11 34 22.0","+03 03 36",5.77,0.46,"  F5V               ",\N,\N,\N,\N
4456," 90    Leo",100600,8220,\N,"11 34 42.5","+16 47 49",5.95,-0.16,"  B4V               ",\N,\N,\N,"*"
4457,\N,100615,\N,\N,"11 35 04.9","+54 47 07",5.63,1.02,"  K0III             ",\N,\N,\N,\N
4458,\N,100623,\N,\N,"11 34 29.5","-32 49 53",5.98,0.81,"  K0V               ",\N,\N,\N,\N
4459,\N,100655,\N,\N,"11 35 03.8","+20 26 29",6.45,1.01,"  G9III             ",\N,\N,\N,\N
4460,\N,100673,\N,\N,"11 34 45.7","-54 15 51",4.62,-0.08,"  B9Ve              ",\N,\N,\N,"*"
4461,"  2    Dra",100696,\N,\N,"11 36 02.8","+69 19 22",5.2,1.01,"  K0III             ",\N,\N,\N,\N
4462,\N,100708,\N,5253,"11 34 56.8","-49 08 12",5.5,1.04,"  K1III-IV          ",\N,\N,\N,\N
4463,\N,100733,\N,"V763 Cen ","11 35 13.2","-47 22 21",5.71,1.66,"  M3III             ",\N,\N,\N,"*"
4464,\N,100740,\N,\N,"11 35 43.4","+10 54 40",6.56,0.13,"  A4Vn              ",\N,\N,\N,\N
4465,\N,100808,8231,\N,"11 36 17.9","+27 46 52",5.8,0.23,"  F0V               ",\N,\N,\N,"*"
4466,\N,100825,\N,\N,"11 35 55.6","-47 38 30",5.25,0.25,"  A7m               ",\N,\N,\N,\N
4467,"   Lam Cen",100841,\N,\N,"11 35 46.8","-63 01 11",3.13,-0.04,"  B9III             ",\N,\N,\N,"*"
4468," 21The Crt",100889,\N,\N,"11 36 40.9","-09 48 08",4.7,-0.08,"  B9.5Vn            ",\N,\N,\N,"*"
4469,\N,100893,\N,\N,"11 36 35.0","-33 34 12",5.74,1.02,"  K0III             ",\N,\N,\N,\N
4470,\N,100911,\N,\N,"11 36 40.8","-37 14 16",6.31,0.06,"  A1V               ",\N,\N,\N,\N
4471," 91Ups Leo",100920,\N,\N,"11 36 56.9","-00 49 26",4.3,1,"  G8.5IIICN-0.5     ",\N,\N,\N,"*"
4472,\N,100929,\N,\N,"11 36 22.3","-61 03 08",5.83,-0.09,"  B2.5IV            ",\N,\N,\N,"*"
4473,\N,100953,\N,\N,"11 37 01.2","-32 59 17",6.29,0.46,"  F6III-IV          ",\N,\N,\N,\N
4474,\N,101013,\N,\N,"11 37 53.0","+50 37 06",6.14,1.07,"  G9III:Ba2.5       ",\N,\N,\N,\N
4475,\N,101021,\N,\N,"11 37 00.6","-61 17 00",5.15,1.12,"  K0III             ",\N,\N,\N,"*"
4476,\N,101067,\N,\N,"11 37 33.9","-47 44 50",5.44,1.24,"  K2III             ",\N,\N,\N,"*"
4477," 59    UMa",101107,\N,\N,"11 38 20.6","+43 37 32",5.59,0.33,"  F2II-III          ",\N,\N,\N,\N
4478,\N,101112,\N,\N,"11 38 09.8","+08 53 03",6.17,1.08,"  K1III             ",\N,\N,\N,"*"
4479,"   Pi  Cha",101132,\N,\N,"11 37 15.6","-75 53 48",5.65,0.35,"  F1III             ",\N,\N,\N,\N
4480," 60    UMa",101133,\N,\N,"11 38 33.5","+46 50 03",6.1,0.38,"  F5III s           ",\N,\N,\N,\N
4481,\N,101150,8249,\N,"11 38 49.2","+64 20 49",6.46,\N,"  A5IV              ",\N,\N,\N,\N
4482,\N,101151,\N,\N,"11 38 32.2","+33 37 32",6.27,1.32,"  K2III             ",\N,\N,\N,\N
4483,"  1Ome Vir",101153,\N,"Ome Vir  ","11 38 27.6","+08 08 03",5.36,1.57,"  M4III             ",\N,\N,\N,"*"
4484,\N,101154,8247,\N,"11 38 24.1","-02 26 10",6.22,1.12,"  G9III             ",\N,\N,\N,"*"
4485,\N,101162,\N,\N,"11 37 48.4","-67 37 13",5.96,1.02,"  K0III             ",\N,\N,\N,\N
4486,\N,101177,8250,\N,"11 38 44.9","+45 06 31",6.44,0.56,"  G0V               ",\N,\N,\N,"*"
4487,\N,101189,\N,\N,"11 38 07.3","-61 49 35",5.15,-0.02,"  ApHgMn            ",\N,\N,\N,"*"
4488," 24Iot Crt",101198,\N,\N,"11 38 40.1","-13 12 07",5.48,0.52,"  F7V               ",\N,\N,\N,\N
4489,\N,101259,\N,\N,"11 39 00.4","-24 43 16",6.42,0.82,"  G5                ",\N,\N,\N,\N
4490,\N,101369,8259,\N,"11 39 51.1","-14 28 07",6.21,0,"  A1V               ",\N,\N,\N,"*"
4491,\N,101370,\N,5284,"11 39 50.4","-16 37 13",6.19,1.62,"  M3.5IIIBa0.2Ca1   ",\N,\N,\N,"*"
4492,\N,101379,\N,"GT Mus   ","11 39 29.4","-65 23 52",5.17,0.8,"  G2III+A0V         ",\N,\N,\N,"*"
4493,\N,101391,\N,\N,"11 40 27.4","+57 58 14",6.37,-0.12,"  B9pHgMn:          ",\N,\N,\N,\N
4494,"   Omi Hya",101431,\N,\N,"11 40 12.8","-34 44 41",4.7,-0.07,"  B9V               ",\N,\N,\N,\N
4495," 92    Leo",101484,\N,\N,"11 40 47.1","+21 21 10",5.26,0.98,"  K1III             ",\N,\N,\N,\N
4496," 61    UMa",101501,\N,5291,"11 41 03.0","+34 12 06",5.33,0.72,"  G8V               ",\N,\N,\N,\N
4497,\N,101541,\N,5289,"11 40 42.6","-53 58 07",5.96,1.66,"  M1III             ",\N,\N,\N,"*"
4498,\N,101563,\N,\N,"11 41 08.4","-29 11 47",6.44,0.66,"  G0V               ",\N,\N,\N,\N
4499,\N,101570,\N,\N,"11 40 53.6","-62 05 24",4.94,1.15,"  G3Ib              ",\N,\N,\N,\N
4500,\N,101604,\N,\N,"11 41 43.6","+55 10 21",6.27,1.49,"  K5                ",\N,\N,\N,\N
4501," 62    UMa",101606,\N,\N,"11 41 34.3","+31 44 46",5.73,0.43,"  F4V               ",\N,\N,\N,"*"
4502,\N,101615,\N,\N,"11 41 19.8","-43 05 45",5.55,\N,"  A0V               ",\N,\N,\N,\N
4503,\N,101666,\N,\N,"11 41 44.0","-32 29 59",5.22,1.48,"  K5III+F7V         ",\N,\N,\N,"*"
4504,"  3    Dra",101673,\N,\N,"11 42 28.4","+66 44 42",5.3,1.28,"  K3III             ",\N,\N,\N,\N
4505,\N,101688,\N,\N,"11 42 05.2","+22 12 39",6.59,\N,"  F2IV-V            ",\N,\N,\N,\N
4506,\N,101695,\N,\N,"11 42 03.5","-20 17 38",6.22,0.95,"  K0                ",\N,\N,\N,\N
4507,\N,101782,\N,\N,"11 41 01.2","-83 06 00",6.33,1.08,"  K0III             ",\N,\N,\N,\N
4508,\N,101883,\N,\N,"11 43 27.2","-37 11 25",5.98,1.46,"  K3III             ",\N,\N,\N,\N
4509,\N,101917,\N,\N,"11 42 55.4","-79 18 23",6.39,0.9,"  K0III-IV          ",\N,\N,\N,\N
4510,\N,101933,\N,\N,"11 43 55.1","-06 40 38",6.07,0.96," gG8                ",\N,\N,\N,\N
4511,\N,101947,\N,"V810 Cen ","11 43 31.2","-62 29 22",5.03,0.8,"  G00-IaFe1         ",\N,\N,\N,"*"
4512,\N,101980,8285,\N,"11 44 13.2","+25 13 06",6.02,1.53,"  K5III             ",\N,\N,\N,"*"
4513,\N,101995,\N,\N,"11 43 52.9","-62 52 42",6.1,0.06,"  A2III-IV          ",\N,\N,\N,\N
4514," 27Zet Crt",102070,\N,\N,"11 44 45.8","-18 21 03",4.73,0.97,"  G8IIIa            ",\N,\N,\N,"*"
4515,"  2Xi  Vir",102124,\N,\N,"11 45 17.1","+08 15 30",4.85,0.18,"  A4V               ",\N,\N,\N,\N
4516,\N,102150,\N,\N,"11 45 12.6","-49 04 11",6.26,1.17,"  K1III             ",\N,\N,\N,\N
4517,"  3Nu  Vir",102212,\N,5318,"11 45 51.6","+06 31 46",4.03,1.51,"  M1IIIab           ",\N,\N,\N,"*"
4518," 63Chi UMa",102224,\N,5319,"11 46 03.0","+47 46 46",3.71,1.18,"  K0.5IIIb          ",\N,\N,\N,"*"
4519,\N,102232,\N,5317,"11 45 43.9","-45 41 24",5.29,-0.12,"  B6III             ",\N,\N,\N,\N
4520,"   Lam Mus",102249,\N,\N,"11 45 36.4","-66 43 43",3.64,0.16,"  A7III             ",\N,\N,\N,"*"
4521,\N,102328,\N,\N,"11 46 55.6","+55 37 42",5.27,1.27,"  K2.5IIIbCN1Ca1    ",\N,\N,\N,\N
4522,\N,102350,\N,5325,"11 46 30.8","-61 10 42",4.11,0.9,"  G5Ib-II           ",\N,\N,\N,"*"
4523,\N,102365,\N,\N,"11 46 31.1","-40 30 02",4.91,0.66,"  G3V               ",\N,\N,\N,"*"
4524,\N,102397,\N,\N,"11 47 07.0","-35 54 25",6.17,0.96,"  G8III             ",\N,\N,\N,\N
4525,\N,102438,\N,\N,"11 47 15.7","-30 17 13",6.48,0.68,"  G5V               ",\N,\N,\N,\N
4526,\N,102461,\N,5334,"11 47 19.1","-57 41 47",5.41,1.67,"  K5III             ",\N,\N,\N,"*"
4527," 93    Leo",102509,\N,"DQ Leo   ","11 47 59.1","+20 13 08",4.53,0.55,"  G5III-IVe+A7V     ",\N,\N,\N,"*"
4528,"  4    Vir",102510,\N,\N,"11 47 54.9","+08 14 45",5.32,0.02,"  A1                ",\N,\N,\N,\N
4529,\N,102574,\N,\N,"11 48 23.5","-10 18 48",6.26,0.58,"  F7V               ",\N,\N,\N,"*"
4530,"   Mu  Mus",102584,\N,"Mu  Mus  ","11 48 14.3","-66 48 53",4.72,1.54,"  K4III             ",\N,\N,\N,"*"
4531,\N,102590,8311,5344,"11 48 38.7","+14 17 03",5.88,0.29,"  F0V               ",\N,\N,\N,"*"
4532,\N,102620,\N,"II Hya   ","11 48 45.1","-26 44 59",5.11,1.6,"  M4+III            ",\N,\N,\N,"*"
4533,\N,102634,\N,\N,"11 49 01.2","-00 19 07",6.15,0.52,"  F7V               ",\N,\N,\N,\N
4534," 94Bet Leo",102647,8314,"Bet Leo  ","11 49 03.6","+14 34 19",2.14,0.09,"  A3V               ",\N,\N,\N,"*"
4535,\N,102660,\N,\N,"11 49 14.9","+16 14 34",6.04,0.27,"  A3m               ",\N,\N,\N,"*"
4536,\N,102713,\N,\N,"11 49 41.7","+34 55 54",5.7,0.46,"  F5IV              ",\N,\N,\N,"*"
4537,\N,102776,\N,5357,"11 49 41.1","-63 47 18",4.32,-0.15,"  B3Vne             ",\N,\N,\N,"*"
4538,\N,102839,\N,\N,"11 49 56.6","-70 13 33",4.97,1.4,"  G6Ib              ",\N,\N,\N,\N
4539,\N,102845,\N,\N,"11 50 19.5","-15 51 50",6.13,0.95,"  K0                ",\N,\N,\N,\N
4540,"  5Bet Vir",102870,\N,\N,"11 50 41.7","+01 45 53",3.61,0.55,"  F9V               ",\N,\N,\N,"*"
4541,\N,102878,\N,\N,"11 50 27.2","-62 38 58",5.7,0.26,"  A2Iab             ",\N,\N,\N,"*"
